genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge,reason,Least Concern,Critically Endangered,Endangered,Near Threatened,Vulnerable,Data Deficient,Lower Risk/near threatened,Lower Risk/conservation dependent,Extinct
Angianthus,1,21,FALSE,FALSE,FALSE,FALSE,FALSE,1,3623,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Angiopteris,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Angophora,1,10,FALSE,FALSE,FALSE,FALSE,FALSE,0.9909866698643,50037,FALSE,0,endemic,NA,7,0,0,3,0,0,0,0,0
Anigozanthos,1,11,FALSE,FALSE,TRUE,TRUE,FALSE,0.995268924302789,4016,FALSE,2,non-endemic,NA,0,0,0,0,0,0,0,0,0
Aniseia,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Anisomeles,0.8695652173913043,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Anisopogon,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,1,4641,FALSE,1,endemic,POWO data error,0,0,0,0,0,0,0,0,0
Anisotome,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.0935700575815739,2084,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Anodopetalum,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,1901,FALSE,0,endemic,NA,1,0,0,0,0,0,0,0,0
Anoectochilus,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.727272727272727,44,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
Anogramma,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Anopterus,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.997931319817956,2417,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Anthobolus,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,0.9965075669383,859,FALSE,2,non-endemic,NA,0,0,0,0,0,0,0,0,0
