Family,Genus,Sp1,Author1,Rank1,Sp2,Author2,Rank2,Sp3,Author3,TaxStat,Accepted,Ecology
Apocynaceae,Hoodia,husabensis,Nel,,,,,,,Synonym,Hoodia gordonii (Masson) Sweet ex Decne.,Present
Hyacinthaceae,Lachenalia,ensifolia,(Thunb.) J.C.Manning & Goldblatt,subsp.,maughanii,(W.F.Barker) G.D.Duncan,,,,Accepted,,Indigenous; Endemic
Moraceae,Ficus,thonningii,Blume,,,,,,,Accepted,,Indigenous
Fabaceae,Aspalathus,ramulosa,E.Mey.,,,,,,,Accepted,,Indigenous; Endemic
Scrophulariaceae,Sutera,violacea,(Schltr.) Hiern,,,,,,,Synonym,Chaenostoma violaceum Schltr.,Indigenous; Endemic
Fabaceae,Rhynchosia,harveyi,Eckl. & Zeyh.,,,,,,,Accepted,,Indigenous; Endemic
Agapanthaceae,Agapanthus,praecox,Willd.,subsp.,minimus,(Lindl.) F.M.Leight.,,,,Accepted,,Indigenous; Endemic
Lamiaceae,Satureja,imbricata,(Forssk.) Briq.,,,,,,,Synonym,Micromeria imbricata (Forssk.) C.Chr.,Indigenous
Hyacinthaceae,Massonia,villosa,J.C.Manning,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Hesperantha,ciliolata,Goldblatt,,,,,,,Synonym,Hesperantha pilosa (L.f.) Ker Gawl. subsp. bracteolata (R.C.Foster) Goldblatt & J.C.Manning,Indigenous; Endemic
Asteraceae,Helichrysopsis,sp.,,,,,,,,Genus level,,
Iridaceae,Gladiolus,scabridus,Goldblatt & J.C.Manning,,,,,,,Accepted,,Indigenous
Restionaceae,Anthochortus,crinalis,(Mast.) H.P.Linder,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Nivenia,stokoei,(L.Guthrie) N.E.Br.,,,,,,,Accepted,,Indigenous; Endemic
Hyacinthaceae,Lachenalia,angelica,W.F.Barker,,,,,,,Accepted,,Indigenous; Endemic
Rutaceae,Diosma,bisulca,Thunb.,,,,,,,Synonym,Agathosma bisulca (Thunb.) Bartl. & H.L.Wendl.,Indigenous
Asteraceae,Cadiscus,aquaticus,E.Mey. ex DC.,,,,,,,Synonym,Senecio cadiscus B.Nord. & Pelser,Indigenous; Endemic
Asteraceae,Arctotis,argentea,Thunb.,,,,,,,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthiopsis,tessellata,(Haw.) G.D.Rowley,var.,crousii,(M.Hayashi) Breuer,,,,Synonym,Haworthiopsis tessellata (Haw.) G.D.Rowley var. crousii (M.Hayashi) Gildenh. & Klopper,Indigenous
Aizoaceae,Lampranthus,caespitosus,(L.Bolus) N.E.Br.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Nidorella,membranifolia,Steetz,,,,,,,Synonym,Nidorella microcephala Steetz,Indigenous
Asteraceae,Vernonia,mespilifolia,Less.,,,,,,,Synonym,Gymnanthemum capense (A.Spreng.) J.C.Manning & Swelank.,Indigenous
Aizoaceae,Leipoldtia,framesii,L.Bolus,,,,,,,Synonym,Leipoldtia laxa L.Bolus,Indigenous
Hyacinthaceae,Lachenalia,nordenstamii,W.F.Barker,,,,,,,Accepted,,Indigenous
Cyperaceae,Tetraria,cuspidata,(Rottb.) C.B.Clarke,var.,angustata,Kuk.,,,,Synonym,Schoenus ligulatus (Boeckeler) Kuntze,Indigenous
Ericaceae,Erica,varderi,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Dolichos,galpinii,Burtt Davy,,,,,,,Synonym,Decorsea galpinii (Burtt Davy) Verdc.,Indigenous
Iridaceae,Ixia,conferta,R.C.Foster,,,,,,,Synonym,Ixia abbreviata Houtt.,Indigenous
Polypodiaceae,Pleopeltis,sp.,,,,,,,,Genus level,,
Ericaceae,Erica,leucopelta,Tausch,var.,luxurians,I.Verd.,,,,Accepted,,Indigenous
Cyperaceae,Schoenoxiphium,perdensum,Kukkonen,,,,,,,Synonym,Carex perdensa (Kukkonen) Luceno & Martin-Bravo,Indigenous; Endemic
Poaceae,Aristida,engleri,Mez,,,,,,,Inclusive,,Indigenous
Crassulaceae,Crassula,pyramidalis,Thunb.,,,,,,,Accepted,,Indigenous; Endemic
Campanulaceae,Wahlenbergia,tenella,(L.f.) Lammers,var.,palustris,(Adamson) Welman,,,,Accepted,,Indigenous; Endemic
Fabaceae,Leobordea,carinata,(E.Mey.) B.-E.van Wyk & Boatwr.,,,,,,,Accepted,,Indigenous
